x N0 N1 N2 N3 N4 N5 N6
0.852 0 0 0 0 0.2738 0.6586 0.0676 
0.854 0 0 0 0 0.26645 0.66065 0.0729 
0.856 0 0 0 0 0.2592 0.6624 0.0784 
0.858 0 0 0 0 0.25205 0.66385 0.0841 
0.86 0 0 0 0 0.245 0.665 0.09 
0.862 0 0 0 0 0.23805 0.66585 0.0961 
0.864 0 0 0 0 0.2312 0.6664 0.1024 
0.866 0 0 0 0 0.22445 0.66665 0.1089 
0.868 0 0 0 0 0.2178 0.6666 0.1156 
0.87 0 0 0 0 0.21125 0.66625 0.1225 
0.872 0 0 0 0 0.2048 0.6656 0.1296 
0.874 0 0 0 0 0.19845 0.66465 0.1369 
0.876 0 0 0 0 0.1922 0.6634 0.1444 
0.878 0 0 0 0 0.18605 0.66185 0.1521 
0.88 0 0 0 0 0.18 0.66 0.16 
0.882 0 0 0 0 0.17405 0.65785 0.1681 
0.884 0 0 0 0 0.1682 0.6554 0.1764 
0.886 0 0 0 0 0.16245 0.65265 0.1849 
0.888 0 0 0 0 0.1568 0.6496 0.1936 
0.89 0 0 0 0 0.15125 0.64625 0.2025 
0.892 0 0 0 0 0.1458 0.6426 0.2116 
0.894 0 0 0 0 0.14045 0.63865 0.2209 
0.896 0 0 0 0 0.1352 0.6344 0.2304 
0.898 0 0 0 0 0.13005 0.62985 0.2401 
0.9 0 0 0 0 0.125 0.625 0.25 
0.902 0 0 0 0 0.12005 0.61985 0.2601 
0.904 0 0 0 0 0.1152 0.6144 0.2704 
0.906 0 0 0 0 0.11045 0.60865 0.2809 
0.908 0 0 0 0 0.1058 0.6026 0.2916 
0.91 0 0 0 0 0.10125 0.59625 0.3025 
0.912 0 0 0 0 0.0968 0.5896 0.3136 
0.914 0 0 0 0 0.09245 0.58265 0.3249 
0.916 0 0 0 0 0.0882 0.5754 0.3364 
0.918 0 0 0 0 0.08405 0.56785 0.3481 
0.92 0 0 0 0 0.08 0.56 0.36 
0.922 0 0 0 0 0.07605 0.55185 0.3721 
0.924 0 0 0 0 0.0722 0.5434 0.3844 
0.926 0 0 0 0 0.06845 0.53465 0.3969 
0.928 0 0 0 0 0.0648 0.5256 0.4096 
0.93 0 0 0 0 0.06125 0.51625 0.4225 
0.932 0 0 0 0 0.0578 0.5066 0.4356 
0.934 0 0 0 0 0.05445 0.49665 0.4489 
0.936 0 0 0 0 0.0512 0.4864 0.4624 
0.938 0 0 0 0 0.04805 0.47585 0.4761 
0.94 0 0 0 0 0.045 0.465 0.49 
0.942 0 0 0 0 0.04205 0.45385 0.5041 
0.944 0 0 0 0 0.0392 0.4424 0.5184 
0.946 0 0 0 0 0.03645 0.43065 0.5329 
0.948 0 0 0 0 0.0338 0.4186 0.5476 
0.95 0 0 0 0 0.03125 0.40625 0.5625 
0.952 0 0 0 0 0.0288 0.3936 0.5776 
0.954 0 0 0 0 0.02645 0.38065 0.5929 
0.956 0 0 0 0 0.0242 0.3674 0.6084 
0.958 0 0 0 0 0.02205 0.35385 0.6241 
0.96 0 0 0 0 0.02 0.34 0.64 
0.962 0 0 0 0 0.01805 0.32585 0.6561 
0.964 0 0 0 0 0.0162 0.3114 0.6724 
0.966 0 0 0 0 0.01445 0.29665 0.6889 
0.968 0 0 0 0 0.0128 0.2816 0.7056 
0.97 0 0 0 0 0.01125 0.26625 0.7225 
0.972 0 0 0 0 0.0098 0.2506 0.7396 
0.974 0 0 0 0 0.00845 0.23465 0.7569 
0.976 0 0 0 0 0.0072 0.2184 0.7744 
0.978 0 0 0 0 0.00605 0.20185 0.7921 
0.98 0 0 0 0 0.005 0.185 0.81 
0.982 0 0 0 0 0.00405 0.16785 0.8281 
0.984 0 0 0 0 0.0032 0.1504 0.8464 
0.986 0 0 0 0 0.00245 0.13265 0.8649 
0.988 0 0 0 0 0.0018 0.1146 0.8836 
0.99 0 0 0 0 0.00125 0.09625 0.9025 
0.992 0 0 0 0 0.0008 0.0776 0.9216 
0.994 0 0 0 0 0.00045 0.05865 0.9409 
0.996 0 0 0 0 0.0002 0.0394 0.9604 
0.998 0 0 0 0 5e-05 0.01985 0.9801 
1 0 0 0 0 0 0 0 
